Timestamp,cases,deaths
190.2,76,379
190.4,83,379
190.6,74,379
190.8,74,379
191.0,72,379
191.2,55,381
191.4,78,382
191.6,80,383
191.8,83,383
192.0,69,383
192.2,70,383
192.4,84,383
192.6,83,383
192.8,72,383
193.0,87,383
193.2,75,383
193.4,75,383
193.6,87,383
193.8,98,383
194.0,63,384
194.2,78,384
194.4,71,385
194.6,71,386
194.8,72,386
195.0,89,386
195.2,89,388
195.4,78,389
195.6,87,389
195.8,89,390
196.0,77,390
196.2,77,392
196.4,93,392
196.6,78,392
196.8,78,392
197.0,65,392
197.2,90,392
197.4,74,392
197.6,73,392
197.8,90,392
198.0,77,393
198.2,75,394
198.4,77,395
198.6,75,395
198.8,78,395
199.0,83,395
199.2,91,395
199.4,72,395
199.6,89,396
199.8,97,397
200.0,86,397
